city,country,main_temp,main_pressure,main_humidity,weather_description,datetime
Paris,FR,14.84,1021,63,scattered clouds,2025-03-25T15:40:09
London,GB,13.75,1022,75,overcast clouds,2025-03-25T15:40:09
New York,US,11.35,1012,40,clear sky,2025-03-25T15:40:09
Berlin,DE,12.06,1016,71,clear sky,2025-03-25T15:40:09
Tokyo,JP,18.05,1001,60,clear sky,2025-03-25T15:40:09
Paris,FR,14.84,1021,63,scattered clouds,2025-03-25T15:41:09
London,GB,13.75,1022,75,overcast clouds,2025-03-25T15:41:09
New York,US,11.35,1012,40,clear sky,2025-03-25T15:41:09
Berlin,DE,11.53,1016,71,clear sky,2025-03-25T15:41:09
Tokyo,JP,18.05,1001,60,clear sky,2025-03-25T15:41:09
Paris,FR,14.84,1021,63,scattered clouds,2025-03-25T15:42:09
London,GB,13.75,1022,75,overcast clouds,2025-03-25T15:42:09
New York,US,11.35,1012,40,clear sky,2025-03-25T15:42:09
Berlin,DE,11.53,1016,71,clear sky,2025-03-25T15:42:09
Tokyo,JP,18.05,1001,60,clear sky,2025-03-25T15:42:09
Paris,FR,14.84,1021,63,scattered clouds,2025-03-25T15:43:09
London,GB,13.75,1022,75,overcast clouds,2025-03-25T15:43:09
New York,US,11.35,1012,40,clear sky,2025-03-25T15:43:09
Berlin,DE,11.53,1016,71,clear sky,2025-03-25T15:43:09
Tokyo,JP,18.05,1001,60,clear sky,2025-03-25T15:43:09
Paris,FR,14.28,1021,64,broken clouds,2025-03-25T15:44:10
London,GB,13.75,1022,75,overcast clouds,2025-03-25T15:44:10
New York,US,11.35,1012,40,clear sky,2025-03-25T15:44:10
Berlin,DE,11.38,1016,71,clear sky,2025-03-25T15:44:10
Tokyo,JP,18.05,1001,60,clear sky,2025-03-25T15:44:10
Paris,FR,14.84,1021,63,scattered clouds,2025-03-25T15:45:08
London,GB,13.75,1022,75,overcast clouds,2025-03-25T15:45:08
New York,US,11.35,1012,40,clear sky,2025-03-25T15:45:08
Berlin,DE,11.53,1016,71,clear sky,2025-03-25T15:45:08
Tokyo,JP,18.05,1001,60,clear sky,2025-03-25T15:45:08
Paris,FR,14.84,1021,63,scattered clouds,2025-03-25T15:46:09
London,GB,13.75,1022,75,overcast clouds,2025-03-25T15:46:09
New York,US,11.35,1012,40,clear sky,2025-03-25T15:46:09
Berlin,DE,11.53,1016,71,clear sky,2025-03-25T15:46:09
Tokyo,JP,18.05,1001,60,clear sky,2025-03-25T15:46:09
Paris,FR,14.84,1021,63,scattered clouds,2025-03-25T15:47:09
London,GB,13.75,1022,75,overcast clouds,2025-03-25T15:47:09
New York,US,11.35,1012,40,clear sky,2025-03-25T15:47:09
Berlin,DE,11.53,1016,71,clear sky,2025-03-25T15:47:09
Tokyo,JP,18.05,1001,60,clear sky,2025-03-25T15:47:09
Paris,FR,14.84,1021,63,scattered clouds,2025-03-25T15:48:09
London,GB,13.75,1022,75,overcast clouds,2025-03-25T15:48:09
New York,US,11.35,1012,40,clear sky,2025-03-25T15:48:09
Berlin,DE,11.53,1016,71,clear sky,2025-03-25T15:48:09
Tokyo,JP,18.05,1001,60,clear sky,2025-03-25T15:48:09
Paris,FR,14.42,1021,64,broken clouds,2025-03-25T15:49:09
London,GB,13.75,1022,75,overcast clouds,2025-03-25T15:49:09
New York,US,11.47,1012,39,clear sky,2025-03-25T15:49:09
Berlin,DE,11.25,1016,71,clear sky,2025-03-25T15:49:09
Tokyo,JP,18.05,1001,60,clear sky,2025-03-25T15:49:09
Paris,FR,14.42,1021,64,broken clouds,2025-03-25T15:54:26
London,GB,13.84,1022,75,overcast clouds,2025-03-25T15:54:26
New York,US,11.47,1012,39,clear sky,2025-03-25T15:54:26
Berlin,DE,11.25,1016,71,clear sky,2025-03-25T15:54:26
Tokyo,JP,18.05,1001,60,clear sky,2025-03-25T15:54:26
Paris,FR,14.42,1021,64,broken clouds,2025-03-25T15:57:15
London,GB,13.84,1022,75,overcast clouds,2025-03-25T15:57:15
New York,US,11.47,1012,39,clear sky,2025-03-25T15:57:15
Berlin,DE,11.25,1016,71,clear sky,2025-03-25T15:57:15
Tokyo,JP,18.05,1001,60,clear sky,2025-03-25T15:57:15
Paris,FR,14.42,1021,64,broken clouds,2025-03-25T15:58:08
London,GB,13.84,1022,75,overcast clouds,2025-03-25T15:58:08
New York,US,11.47,1012,39,clear sky,2025-03-25T15:58:08
Berlin,DE,11.25,1016,71,clear sky,2025-03-25T15:58:08
Tokyo,JP,18.05,1001,60,clear sky,2025-03-25T15:58:08
Paris,FR,14.42,1021,64,broken clouds,2025-03-25T15:59:09
London,GB,13.84,1022,75,overcast clouds,2025-03-25T15:59:09
New York,US,11.47,1012,39,clear sky,2025-03-25T15:59:09
Berlin,DE,11.25,1016,71,clear sky,2025-03-25T15:59:09
Tokyo,JP,18.05,1001,60,clear sky,2025-03-25T15:59:09
Paris,FR,14.27,1021,65,broken clouds,2025-03-25T16:00:10
London,GB,13.84,1022,75,overcast clouds,2025-03-25T16:00:10
New York,US,11.66,1012,40,clear sky,2025-03-25T16:00:10
Berlin,DE,11.2,1016,72,clear sky,2025-03-25T16:00:10
Tokyo,JP,18.19,1001,61,clear sky,2025-03-25T16:00:10
Paris,FR,14.27,1021,65,broken clouds,2025-03-25T16:01:10
London,GB,13.84,1022,75,overcast clouds,2025-03-25T16:01:10
New York,US,11.66,1012,40,clear sky,2025-03-25T16:01:10
Berlin,DE,11.2,1016,72,clear sky,2025-03-25T16:01:10
Tokyo,JP,18.19,1001,61,clear sky,2025-03-25T16:01:10
Paris,FR,14.27,1021,65,broken clouds,2025-03-25T16:02:10
London,GB,13.84,1022,75,overcast clouds,2025-03-25T16:02:10
New York,US,11.72,1012,39,few clouds,2025-03-25T16:02:10
Berlin,DE,12.1,1016,63,clear sky,2025-03-25T16:02:10
Tokyo,JP,18.19,1001,61,clear sky,2025-03-25T16:02:10
Paris,FR,14.27,1021,65,broken clouds,2025-03-25T16:03:09
London,GB,13.84,1022,75,overcast clouds,2025-03-25T16:03:09
New York,US,11.72,1012,39,few clouds,2025-03-25T16:03:09
Berlin,DE,12.1,1016,63,clear sky,2025-03-25T16:03:09
Tokyo,JP,18.19,1001,61,clear sky,2025-03-25T16:03:09
Paris,FR,14.27,1021,65,broken clouds,2025-03-25T16:04:09
London,GB,13.84,1022,75,overcast clouds,2025-03-25T16:04:09
New York,US,11.72,1012,39,few clouds,2025-03-25T16:04:09
Berlin,DE,12.1,1016,63,clear sky,2025-03-25T16:04:09
Tokyo,JP,18.19,1001,61,clear sky,2025-03-25T16:04:09
Paris,FR,14.27,1021,65,broken clouds,2025-03-25T16:05:01
London,GB,13.84,1022,75,overcast clouds,2025-03-25T16:05:01
New York,US,11.72,1012,39,few clouds,2025-03-25T16:05:01
Berlin,DE,12.1,1016,63,clear sky,2025-03-25T16:05:01
Tokyo,JP,18.19,1001,61,clear sky,2025-03-25T16:05:01
Paris,FR,14.27,1021,65,broken clouds,2025-03-25T16:05:09
London,GB,13.84,1022,75,overcast clouds,2025-03-25T16:05:09
New York,US,11.72,1012,39,few clouds,2025-03-25T16:05:09
Berlin,DE,12.1,1016,63,clear sky,2025-03-25T16:05:09
Tokyo,JP,18.19,1001,61,clear sky,2025-03-25T16:05:09
Paris,FR,14.27,1021,65,broken clouds,2025-03-25T16:06:09
London,GB,13.84,1022,75,overcast clouds,2025-03-25T16:06:09
New York,US,11.66,1012,40,clear sky,2025-03-25T16:06:09
Berlin,DE,11.2,1016,72,clear sky,2025-03-25T16:06:09
Tokyo,JP,18.19,1001,61,clear sky,2025-03-25T16:06:09
Paris,FR,14.27,1021,65,broken clouds,2025-03-25T16:07:09
London,GB,13.84,1022,75,overcast clouds,2025-03-25T16:07:09
New York,US,11.66,1012,40,clear sky,2025-03-25T16:07:09
Berlin,DE,11.2,1016,72,clear sky,2025-03-25T16:07:09
Tokyo,JP,18.19,1001,61,clear sky,2025-03-25T16:07:09
Paris,FR,14.27,1021,65,broken clouds,2025-03-25T16:08:09
London,GB,13.84,1022,75,overcast clouds,2025-03-25T16:08:09
New York,US,11.66,1012,40,clear sky,2025-03-25T16:08:09
Berlin,DE,11.2,1016,72,clear sky,2025-03-25T16:08:09
Tokyo,JP,18.19,1001,61,clear sky,2025-03-25T16:08:09
Paris,FR,14.27,1021,65,broken clouds,2025-03-25T16:09:09
London,GB,13.72,1022,75,overcast clouds,2025-03-25T16:09:09
New York,US,11.87,1012,38,few clouds,2025-03-25T16:09:09
Berlin,DE,11.05,1016,71,clear sky,2025-03-25T16:09:09
Tokyo,JP,18.31,1001,62,clear sky,2025-03-25T16:09:09
Paris,FR,14.27,1021,65,broken clouds,2025-03-25T16:10:10
London,GB,13.72,1022,75,overcast clouds,2025-03-25T16:10:10
New York,US,11.87,1012,38,few clouds,2025-03-25T16:10:10
Berlin,DE,11.05,1016,71,clear sky,2025-03-25T16:10:10
Tokyo,JP,18.31,1001,62,clear sky,2025-03-25T16:10:10
Paris,FR,14.27,1021,65,broken clouds,2025-03-25T16:11:10
London,GB,13.72,1022,75,overcast clouds,2025-03-25T16:11:10
New York,US,11.87,1012,38,few clouds,2025-03-25T16:11:10
Berlin,DE,11.05,1016,71,clear sky,2025-03-25T16:11:10
Tokyo,JP,18.31,1001,62,clear sky,2025-03-25T16:11:10
Paris,FR,14.27,1021,65,broken clouds,2025-03-25T16:12:11
London,GB,13.72,1022,75,overcast clouds,2025-03-25T16:12:11
New York,US,11.87,1012,38,few clouds,2025-03-25T16:12:11
Berlin,DE,11.05,1016,71,clear sky,2025-03-25T16:12:11
Tokyo,JP,18.31,1001,62,clear sky,2025-03-25T16:12:11
Paris,FR,14.27,1021,65,broken clouds,2025-03-25T16:13:10
London,GB,13.72,1022,75,overcast clouds,2025-03-25T16:13:10
New York,US,11.87,1012,38,few clouds,2025-03-25T16:13:10
Berlin,DE,11.05,1016,71,clear sky,2025-03-25T16:13:10
Tokyo,JP,18.31,1001,62,clear sky,2025-03-25T16:13:10
Paris,FR,14.27,1021,65,broken clouds,2025-03-25T16:14:10
London,GB,13.72,1022,75,overcast clouds,2025-03-25T16:14:10
New York,US,11.87,1012,38,few clouds,2025-03-25T16:14:10
Berlin,DE,11.05,1016,71,clear sky,2025-03-25T16:14:10
Tokyo,JP,18.31,1001,62,clear sky,2025-03-25T16:14:10
Paris,FR,14.27,1021,65,broken clouds,2025-03-25T16:15:10
London,GB,13.72,1022,75,overcast clouds,2025-03-25T16:15:10
New York,US,11.87,1012,38,few clouds,2025-03-25T16:15:10
Berlin,DE,11.05,1016,71,clear sky,2025-03-25T16:15:10
Tokyo,JP,18.31,1001,62,clear sky,2025-03-25T16:15:10
Paris,FR,14.24,1021,65,broken clouds,2025-03-25T16:16:09
London,GB,13.72,1022,75,overcast clouds,2025-03-25T16:16:09
New York,US,11.98,1012,37,few clouds,2025-03-25T16:16:09
Berlin,DE,11.05,1016,71,clear sky,2025-03-25T16:16:09
Tokyo,JP,18.31,1001,63,clear sky,2025-03-25T16:16:09
Paris,FR,14.24,1021,65,broken clouds,2025-03-25T16:17:09
London,GB,13.72,1022,75,overcast clouds,2025-03-25T16:17:09
New York,US,11.98,1012,37,few clouds,2025-03-25T16:17:09
Berlin,DE,11.05,1016,71,clear sky,2025-03-25T16:17:09
Tokyo,JP,18.31,1001,63,clear sky,2025-03-25T16:17:09
Paris,FR,14.24,1021,65,broken clouds,2025-03-25T16:18:09
London,GB,13.72,1022,75,overcast clouds,2025-03-25T16:18:09
New York,US,12.03,1012,37,few clouds,2025-03-25T16:18:09
Berlin,DE,11.05,1016,71,clear sky,2025-03-25T16:18:09
Tokyo,JP,18.31,1001,63,clear sky,2025-03-25T16:18:09
Paris,FR,14.24,1021,65,broken clouds,2025-03-25T16:19:09
London,GB,13.72,1022,75,overcast clouds,2025-03-25T16:19:09
New York,US,12.03,1012,37,few clouds,2025-03-25T16:19:09
Berlin,DE,11.05,1016,71,clear sky,2025-03-25T16:19:09
Tokyo,JP,18.31,1001,63,clear sky,2025-03-25T16:19:09
Paris,FR,14.16,1021,65,broken clouds,2025-03-25T16:20:09
London,GB,13.72,1022,78,overcast clouds,2025-03-25T16:20:09
New York,US,12.03,1012,37,few clouds,2025-03-25T16:20:09
Berlin,DE,11.05,1016,71,clear sky,2025-03-25T16:20:09
Tokyo,JP,18.31,1001,63,clear sky,2025-03-25T16:20:09
Paris,FR,14.16,1021,65,broken clouds,2025-03-25T16:21:09
London,GB,13.72,1022,78,overcast clouds,2025-03-25T16:21:09
New York,US,12.03,1012,37,few clouds,2025-03-25T16:21:09
Berlin,DE,11.05,1016,71,clear sky,2025-03-25T16:21:09
Tokyo,JP,18.31,1001,63,clear sky,2025-03-25T16:21:09
Paris,FR,14.16,1021,66,broken clouds,2025-03-25T16:22:09
London,GB,13.72,1022,78,overcast clouds,2025-03-25T16:22:09
New York,US,12.06,1012,37,few clouds,2025-03-25T16:22:09
Berlin,DE,11.4,1016,66,clear sky,2025-03-25T16:22:09
Tokyo,JP,18.31,1001,63,clear sky,2025-03-25T16:22:09
