city,country,main_temp,main_pressure,main_humidity,weather_description,datetime
New York,US,12.38,1012,37,few clouds,2025-03-25T17:01:41
Berlin,DE,10.77,1016,58,broken clouds,2025-03-25T17:01:41
Tokyo,JP,18.51,1001,63,clear sky,2025-03-25T17:01:41
Paris,FR,13.59,1021,68,broken clouds,2025-03-25T17:02:09
London,GB,13.8,1023,80,overcast clouds,2025-03-25T17:02:09
New York,US,12.38,1012,37,few clouds,2025-03-25T17:02:09
Berlin,DE,10.77,1016,58,broken clouds,2025-03-25T17:02:09
Tokyo,JP,18.51,1001,63,clear sky,2025-03-25T17:02:09
Paris,FR,13.59,1021,68,broken clouds,2025-03-25T17:06:49
London,GB,13.67,1023,80,overcast clouds,2025-03-25T17:06:49
New York,US,12.52,1012,37,few clouds,2025-03-25T17:06:49
Berlin,DE,10.5,1016,68,broken clouds,2025-03-25T17:06:49
Tokyo,JP,18.51,1001,63,clear sky,2025-03-25T17:06:49
Paris,FR,13.59,1021,68,broken clouds,2025-03-25T17:06:54
London,GB,13.67,1023,80,overcast clouds,2025-03-25T17:06:54
New York,US,12.52,1012,37,few clouds,2025-03-25T17:06:54
Berlin,DE,10.5,1016,68,broken clouds,2025-03-25T17:06:54
Tokyo,JP,18.51,1001,63,clear sky,2025-03-25T17:06:54
Paris,FR,13.59,1021,68,broken clouds,2025-03-25T17:07:30
London,GB,13.67,1023,80,overcast clouds,2025-03-25T17:07:30
New York,US,12.52,1012,37,few clouds,2025-03-25T17:07:30
Berlin,DE,10.5,1016,68,broken clouds,2025-03-25T17:07:30
Tokyo,JP,18.51,1001,63,clear sky,2025-03-25T17:07:30
Paris,FR,13.59,1021,68,broken clouds,2025-03-25T17:08:09
London,GB,13.67,1023,80,overcast clouds,2025-03-25T17:08:09
New York,US,12.52,1012,37,few clouds,2025-03-25T17:08:09
Berlin,DE,10.5,1016,68,broken clouds,2025-03-25T17:08:09
Tokyo,JP,18.51,1001,63,clear sky,2025-03-25T17:08:09
Paris,FR,13.59,1021,68,broken clouds,2025-03-25T17:09:09
London,GB,13.67,1023,80,overcast clouds,2025-03-25T17:09:09
New York,US,12.47,1012,37,few clouds,2025-03-25T17:09:09
Berlin,DE,10.5,1016,68,broken clouds,2025-03-25T17:09:09
Tokyo,JP,18.51,1001,63,clear sky,2025-03-25T17:09:09
Paris,FR,13.59,1021,68,broken clouds,2025-03-25T17:10:09
London,GB,13.67,1023,80,overcast clouds,2025-03-25T17:10:09
New York,US,12.47,1012,37,few clouds,2025-03-25T17:10:09
Berlin,DE,10.5,1016,68,broken clouds,2025-03-25T17:10:09
Tokyo,JP,18.51,1001,63,clear sky,2025-03-25T17:10:09
Paris,FR,13.59,1021,68,broken clouds,2025-03-25T17:13:20
London,GB,13.67,1023,80,overcast clouds,2025-03-25T17:13:20
New York,US,12.52,1012,37,few clouds,2025-03-25T17:13:20
Berlin,DE,10.5,1016,68,broken clouds,2025-03-25T17:13:20
Tokyo,JP,18.51,1001,63,clear sky,2025-03-25T17:13:20
Paris,FR,13.59,1021,68,broken clouds,2025-03-25T17:13:26
London,GB,13.67,1023,80,overcast clouds,2025-03-25T17:13:26
New York,US,12.52,1012,37,few clouds,2025-03-25T17:13:26
Berlin,DE,10.5,1016,68,broken clouds,2025-03-25T17:13:26
Tokyo,JP,18.51,1001,63,clear sky,2025-03-25T17:13:26
Paris,FR,13.59,1021,68,broken clouds,2025-03-25T17:14:08
London,GB,13.67,1023,80,overcast clouds,2025-03-25T17:14:08
New York,US,12.52,1012,37,few clouds,2025-03-25T17:14:08
Berlin,DE,10.5,1016,68,broken clouds,2025-03-25T17:14:08
Tokyo,JP,18.51,1001,63,clear sky,2025-03-25T17:14:08
Paris,FR,13.59,1021,68,broken clouds,2025-03-25T17:15:09
London,GB,13.61,1023,80,overcast clouds,2025-03-25T17:15:09
New York,US,12.62,1012,36,few clouds,2025-03-25T17:15:09
Berlin,DE,10.25,1016,60,broken clouds,2025-03-25T17:15:09
Tokyo,JP,18.51,1001,63,clear sky,2025-03-25T17:15:09
Paris,FR,13.59,1021,68,broken clouds,2025-03-25T17:16:10
London,GB,13.61,1023,80,overcast clouds,2025-03-25T17:16:10
New York,US,12.62,1012,36,few clouds,2025-03-25T17:16:10
Berlin,DE,10.25,1016,60,broken clouds,2025-03-25T17:16:10
Tokyo,JP,18.51,1001,63,clear sky,2025-03-25T17:16:10
Paris,FR,13.59,1021,68,broken clouds,2025-03-25T17:17:21
London,GB,13.61,1023,80,overcast clouds,2025-03-25T17:17:21
New York,US,12.62,1012,36,few clouds,2025-03-25T17:17:21
Berlin,DE,10.25,1016,60,broken clouds,2025-03-25T17:17:21
Tokyo,JP,18.51,1001,63,clear sky,2025-03-25T17:17:21
Paris,FR,13.59,1021,68,broken clouds,2025-03-25T17:18:09
London,GB,13.61,1023,80,overcast clouds,2025-03-25T17:18:09
New York,US,12.62,1012,36,few clouds,2025-03-25T17:18:09
Berlin,DE,10.25,1016,60,broken clouds,2025-03-25T17:18:09
Tokyo,JP,18.51,1001,63,clear sky,2025-03-25T17:18:09
Paris,FR,13.59,1021,68,broken clouds,2025-03-25T17:19:09
London,GB,13.61,1023,80,overcast clouds,2025-03-25T17:19:09
New York,US,12.62,1012,36,few clouds,2025-03-25T17:19:09
Berlin,DE,10.25,1016,60,broken clouds,2025-03-25T17:19:09
Tokyo,JP,18.51,1001,63,clear sky,2025-03-25T17:19:09
Paris,FR,13.37,1021,68,broken clouds,2025-03-25T17:20:09
London,GB,13.57,1023,79,overcast clouds,2025-03-25T17:20:09
New York,US,12.79,1012,36,few clouds,2025-03-25T17:20:09
Berlin,DE,10.24,1016,69,broken clouds,2025-03-25T17:20:09
Tokyo,JP,18.53,1001,62,clear sky,2025-03-25T17:20:09
Paris,FR,13.37,1021,68,broken clouds,2025-03-25T17:21:09
London,GB,13.57,1023,79,overcast clouds,2025-03-25T17:21:09
New York,US,12.79,1012,36,few clouds,2025-03-25T17:21:09
Berlin,DE,10.24,1016,69,broken clouds,2025-03-25T17:21:09
Tokyo,JP,18.53,1001,62,clear sky,2025-03-25T17:21:09
Paris,FR,13.37,1021,68,broken clouds,2025-03-25T17:22:09
London,GB,13.57,1023,79,overcast clouds,2025-03-25T17:22:09
New York,US,12.79,1012,36,few clouds,2025-03-25T17:22:09
Berlin,DE,10.24,1016,69,broken clouds,2025-03-25T17:22:09
Tokyo,JP,18.53,1001,62,clear sky,2025-03-25T17:22:09
Paris,FR,13.37,1021,68,broken clouds,2025-03-25T17:23:09
London,GB,13.57,1023,79,overcast clouds,2025-03-25T17:23:09
New York,US,12.76,1012,36,few clouds,2025-03-25T17:23:09
Berlin,DE,10.24,1016,69,broken clouds,2025-03-25T17:23:09
Tokyo,JP,18.53,1001,63,clear sky,2025-03-25T17:23:09
Paris,FR,13.37,1021,68,broken clouds,2025-03-25T17:24:09
London,GB,13.57,1023,79,overcast clouds,2025-03-25T17:24:09
New York,US,12.76,1012,36,few clouds,2025-03-25T17:24:09
Berlin,DE,10.24,1016,69,broken clouds,2025-03-25T17:24:09
Tokyo,JP,18.53,1001,63,clear sky,2025-03-25T17:24:09
Paris,FR,13.37,1021,68,broken clouds,2025-03-25T17:25:09
London,GB,13.57,1023,79,overcast clouds,2025-03-25T17:25:09
New York,US,12.76,1012,36,few clouds,2025-03-25T17:25:09
Berlin,DE,10.24,1016,69,broken clouds,2025-03-25T17:25:09
Tokyo,JP,18.53,1001,63,clear sky,2025-03-25T17:25:09
Paris,FR,13.37,1021,68,broken clouds,2025-03-25T17:26:09
London,GB,13.57,1023,79,overcast clouds,2025-03-25T17:26:09
New York,US,12.76,1012,36,few clouds,2025-03-25T17:26:09
Berlin,DE,10.24,1016,69,broken clouds,2025-03-25T17:26:09
Tokyo,JP,18.53,1001,63,clear sky,2025-03-25T17:26:09
Paris,FR,13.37,1021,68,broken clouds,2025-03-25T17:27:09
London,GB,13.57,1023,79,overcast clouds,2025-03-25T17:27:09
New York,US,12.76,1012,36,few clouds,2025-03-25T17:27:09
Berlin,DE,10.24,1016,69,broken clouds,2025-03-25T17:27:09
Tokyo,JP,18.53,1001,63,clear sky,2025-03-25T17:27:09
Paris,FR,13.37,1021,68,broken clouds,2025-03-25T17:28:09
London,GB,13.57,1023,79,overcast clouds,2025-03-25T17:28:09
New York,US,12.76,1012,36,few clouds,2025-03-25T17:28:09
Berlin,DE,10.24,1016,69,broken clouds,2025-03-25T17:28:09
Tokyo,JP,18.53,1001,63,clear sky,2025-03-25T17:28:09
Paris,FR,13.37,1021,68,broken clouds,2025-03-25T17:29:08
London,GB,13.57,1023,79,overcast clouds,2025-03-25T17:29:08
New York,US,12.76,1012,36,few clouds,2025-03-25T17:29:08
Berlin,DE,10.24,1016,69,broken clouds,2025-03-25T17:29:08
Tokyo,JP,18.53,1001,63,clear sky,2025-03-25T17:29:08
Paris,FR,13.37,1021,68,broken clouds,2025-03-25T17:30:09
London,GB,13.57,1023,79,overcast clouds,2025-03-25T17:30:09
New York,US,12.76,1012,36,few clouds,2025-03-25T17:30:09
Berlin,DE,10.24,1016,69,broken clouds,2025-03-25T17:30:09
Tokyo,JP,18.53,1001,63,clear sky,2025-03-25T17:30:09
Paris,FR,13.37,1021,68,broken clouds,2025-03-25T17:31:09
London,GB,13.57,1023,79,overcast clouds,2025-03-25T17:31:09
New York,US,12.76,1012,36,few clouds,2025-03-25T17:31:09
Berlin,DE,10.24,1016,69,broken clouds,2025-03-25T17:31:09
Tokyo,JP,18.53,1001,63,clear sky,2025-03-25T17:31:09
Paris,FR,13.37,1021,68,broken clouds,2025-03-25T17:32:09
London,GB,13.57,1023,79,overcast clouds,2025-03-25T17:32:09
New York,US,12.76,1012,36,few clouds,2025-03-25T17:32:09
Berlin,DE,10.24,1016,69,broken clouds,2025-03-25T17:32:09
Tokyo,JP,18.53,1001,63,clear sky,2025-03-25T17:32:09
Paris,FR,13.3,1022,69,broken clouds,2025-03-25T17:33:25
London,GB,13.55,1023,79,overcast clouds,2025-03-25T17:33:25
New York,US,12.8,1011,36,few clouds,2025-03-25T17:33:25
Berlin,DE,9.93,1016,65,broken clouds,2025-03-25T17:33:25
Tokyo,JP,18.53,1000,63,clear sky,2025-03-25T17:33:25
Paris,FR,13.34,1021,68,broken clouds,2025-03-25T17:34:09
London,GB,13.55,1023,79,overcast clouds,2025-03-25T17:34:09
New York,US,12.8,1011,36,few clouds,2025-03-25T17:34:09
Berlin,DE,9.93,1016,65,broken clouds,2025-03-25T17:34:09
Tokyo,JP,18.53,1000,63,clear sky,2025-03-25T17:34:09
Paris,FR,13.34,1021,68,broken clouds,2025-03-25T17:35:10
London,GB,13.55,1023,79,overcast clouds,2025-03-25T17:35:10
New York,US,12.8,1011,36,few clouds,2025-03-25T17:35:10
Berlin,DE,9.93,1016,65,broken clouds,2025-03-25T17:35:10
Tokyo,JP,18.53,1000,63,clear sky,2025-03-25T17:35:10
Paris,FR,13.34,1021,68,broken clouds,2025-03-25T17:36:09
London,GB,13.55,1023,79,overcast clouds,2025-03-25T17:36:09
New York,US,12.8,1011,36,few clouds,2025-03-25T17:36:09
Berlin,DE,9.93,1016,65,broken clouds,2025-03-25T17:36:09
Tokyo,JP,18.53,1000,63,clear sky,2025-03-25T17:36:09
Paris,FR,13.3,1022,69,broken clouds,2025-03-25T17:37:08
London,GB,13.55,1023,79,overcast clouds,2025-03-25T17:37:08
New York,US,12.84,1011,36,few clouds,2025-03-25T17:37:08
Berlin,DE,9.93,1016,65,broken clouds,2025-03-25T17:37:08
Tokyo,JP,18.51,1000,64,clear sky,2025-03-25T17:37:08
Paris,FR,13.3,1022,69,broken clouds,2025-03-25T17:38:09
London,GB,13.55,1023,79,overcast clouds,2025-03-25T17:38:09
New York,US,12.84,1011,36,few clouds,2025-03-25T17:38:09
Berlin,DE,9.93,1016,65,broken clouds,2025-03-25T17:38:09
Tokyo,JP,18.51,1000,64,clear sky,2025-03-25T17:38:09
Paris,FR,13.3,1022,69,broken clouds,2025-03-25T17:39:09
London,GB,13.57,1023,79,overcast clouds,2025-03-25T17:39:09
New York,US,12.81,1011,36,few clouds,2025-03-25T17:39:09
Berlin,DE,8.85,1016,71,broken clouds,2025-03-25T17:39:09
Tokyo,JP,18.51,1000,64,clear sky,2025-03-25T17:39:09
Paris,FR,13.3,1022,69,broken clouds,2025-03-25T17:40:09
London,GB,13.57,1023,79,overcast clouds,2025-03-25T17:40:09
New York,US,12.81,1011,36,few clouds,2025-03-25T17:40:09
Berlin,DE,8.85,1016,71,broken clouds,2025-03-25T17:40:09
Tokyo,JP,18.51,1000,64,clear sky,2025-03-25T17:40:09
Paris,FR,13.3,1022,69,broken clouds,2025-03-25T17:41:09
London,GB,13.57,1023,79,overcast clouds,2025-03-25T17:41:09
New York,US,12.81,1011,36,few clouds,2025-03-25T17:41:09
Berlin,DE,8.85,1016,71,broken clouds,2025-03-25T17:41:09
Tokyo,JP,18.51,1000,64,clear sky,2025-03-25T17:41:09
Paris,FR,13.3,1022,69,broken clouds,2025-03-25T17:42:09
London,GB,13.57,1023,79,overcast clouds,2025-03-25T17:42:09
New York,US,12.81,1011,36,few clouds,2025-03-25T17:42:09
Berlin,DE,8.85,1016,71,broken clouds,2025-03-25T17:42:09
Tokyo,JP,18.51,1000,64,clear sky,2025-03-25T17:42:09
Paris,FR,13.24,1022,69,broken clouds,2025-03-25T17:43:09
London,GB,13.57,1023,79,overcast clouds,2025-03-25T17:43:09
New York,US,12.77,1011,36,few clouds,2025-03-25T17:43:09
Berlin,DE,8.85,1016,71,broken clouds,2025-03-25T17:43:09
Tokyo,JP,18.51,1000,64,clear sky,2025-03-25T17:43:09
Paris,FR,13.24,1022,69,broken clouds,2025-03-25T17:44:10
London,GB,13.57,1023,79,overcast clouds,2025-03-25T17:44:10
New York,US,12.77,1011,36,few clouds,2025-03-25T17:44:10
Berlin,DE,8.85,1016,71,broken clouds,2025-03-25T17:44:10
Tokyo,JP,18.51,1000,64,clear sky,2025-03-25T17:44:10
Paris,FR,12.75,1022,70,broken clouds,2025-03-25T17:45:09
London,GB,13.57,1023,79,overcast clouds,2025-03-25T17:45:09
New York,US,12.83,1011,36,few clouds,2025-03-25T17:45:09
Berlin,DE,9.03,1016,70,broken clouds,2025-03-25T17:45:09
Tokyo,JP,18.51,1000,64,clear sky,2025-03-25T17:45:09
Paris,FR,12.75,1022,70,broken clouds,2025-03-25T17:46:09
London,GB,13.57,1023,79,overcast clouds,2025-03-25T17:46:09
New York,US,12.83,1011,36,few clouds,2025-03-25T17:46:09
Berlin,DE,9.03,1016,70,broken clouds,2025-03-25T17:46:09
Tokyo,JP,18.51,1000,64,clear sky,2025-03-25T17:46:09
Paris,FR,12.75,1022,70,broken clouds,2025-03-25T17:47:08
London,GB,13.57,1023,79,overcast clouds,2025-03-25T17:47:08
New York,US,12.83,1011,36,few clouds,2025-03-25T17:47:08
Berlin,DE,9.03,1016,70,broken clouds,2025-03-25T17:47:08
Tokyo,JP,18.51,1000,64,clear sky,2025-03-25T17:47:08
Paris,FR,12.75,1022,70,broken clouds,2025-03-25T17:48:09
London,GB,13.57,1023,79,overcast clouds,2025-03-25T17:48:09
New York,US,12.83,1011,36,few clouds,2025-03-25T17:48:09
Berlin,DE,9.03,1016,70,broken clouds,2025-03-25T17:48:09
Tokyo,JP,18.51,1000,64,clear sky,2025-03-25T17:48:09
Paris,FR,12.73,1022,70,broken clouds,2025-03-25T17:49:09
London,GB,13.57,1023,79,overcast clouds,2025-03-25T17:49:09
New York,US,13.03,1011,36,few clouds,2025-03-25T17:49:09
Berlin,DE,8.9,1016,70,broken clouds,2025-03-25T17:49:09
Tokyo,JP,18.51,1000,65,clear sky,2025-03-25T17:49:09
Paris,FR,11.43,1022,76,overcast clouds,2025-03-25T18:52:37
London,GB,12.94,1023,83,overcast clouds,2025-03-25T18:52:37
New York,US,13.7,1011,33,broken clouds,2025-03-25T18:52:37
Berlin,DE,7.08,1017,83,overcast clouds,2025-03-25T18:52:37
Tokyo,JP,17.94,1000,67,clear sky,2025-03-25T18:52:37
Paris,FR,11.43,1022,76,overcast clouds,2025-03-25T18:53:09
London,GB,12.94,1023,83,overcast clouds,2025-03-25T18:53:09
New York,US,13.7,1011,33,broken clouds,2025-03-25T18:53:09
Berlin,DE,7.08,1017,83,overcast clouds,2025-03-25T18:53:09
Tokyo,JP,17.94,1000,67,clear sky,2025-03-25T18:53:09
Paris,FR,11.43,1022,76,overcast clouds,2025-03-25T18:54:09
London,GB,12.94,1023,83,overcast clouds,2025-03-25T18:54:09
New York,US,13.7,1011,33,broken clouds,2025-03-25T18:54:09
Berlin,DE,7.08,1017,83,overcast clouds,2025-03-25T18:54:09
Tokyo,JP,17.94,1000,67,clear sky,2025-03-25T18:54:09
Paris,FR,11.43,1022,76,overcast clouds,2025-03-25T18:55:09
London,GB,12.94,1023,83,overcast clouds,2025-03-25T18:55:09
New York,US,13.7,1011,33,broken clouds,2025-03-25T18:55:09
Berlin,DE,7.08,1017,83,overcast clouds,2025-03-25T18:55:09
Tokyo,JP,17.94,1000,67,clear sky,2025-03-25T18:55:09
Paris,FR,11.43,1022,76,overcast clouds,2025-03-25T18:56:09
London,GB,12.94,1023,83,overcast clouds,2025-03-25T18:56:09
New York,US,13.69,1011,33,broken clouds,2025-03-25T18:56:09
Berlin,DE,7.08,1017,83,overcast clouds,2025-03-25T18:56:09
Tokyo,JP,17.83,1000,67,clear sky,2025-03-25T18:56:09
Paris,FR,11.43,1022,76,overcast clouds,2025-03-25T18:57:09
London,GB,12.94,1023,83,overcast clouds,2025-03-25T18:57:09
New York,US,13.79,1011,33,broken clouds,2025-03-25T18:57:09
Berlin,DE,7.75,1017,79,overcast clouds,2025-03-25T18:57:09
Tokyo,JP,17.84,1000,67,clear sky,2025-03-25T18:57:09
Paris,FR,11.43,1022,76,overcast clouds,2025-03-25T18:58:09
London,GB,12.94,1023,83,overcast clouds,2025-03-25T18:58:09
New York,US,13.79,1011,33,broken clouds,2025-03-25T18:58:09
Berlin,DE,7.75,1017,79,overcast clouds,2025-03-25T18:58:09
Tokyo,JP,17.84,1000,67,clear sky,2025-03-25T18:58:09
Paris,FR,11.43,1022,76,overcast clouds,2025-03-25T18:59:09
London,GB,12.94,1023,83,overcast clouds,2025-03-25T18:59:09
New York,US,13.79,1011,33,broken clouds,2025-03-25T18:59:09
Berlin,DE,7.75,1017,79,overcast clouds,2025-03-25T18:59:09
Tokyo,JP,17.84,1000,67,clear sky,2025-03-25T18:59:09
Paris,FR,11.43,1022,76,overcast clouds,2025-03-25T19:00:10
London,GB,12.94,1023,83,overcast clouds,2025-03-25T19:00:10
New York,US,13.79,1011,33,broken clouds,2025-03-25T19:00:10
Berlin,DE,7.75,1017,79,overcast clouds,2025-03-25T19:00:10
Tokyo,JP,17.84,1000,67,clear sky,2025-03-25T19:00:10
Paris,FR,11.43,1022,76,overcast clouds,2025-03-25T19:01:09
London,GB,12.94,1023,83,overcast clouds,2025-03-25T19:01:09
New York,US,13.79,1011,33,broken clouds,2025-03-25T19:01:09
Berlin,DE,7.08,1017,83,overcast clouds,2025-03-25T19:01:09
Tokyo,JP,17.84,1000,67,clear sky,2025-03-25T19:01:09
Paris,FR,11.43,1022,76,overcast clouds,2025-03-25T19:02:09
London,GB,12.89,1023,83,overcast clouds,2025-03-25T19:02:09
New York,US,13.78,1011,33,broken clouds,2025-03-25T19:02:09
Berlin,DE,6.96,1017,83,overcast clouds,2025-03-25T19:02:09
Tokyo,JP,17.91,1000,67,clear sky,2025-03-25T19:02:09
Paris,FR,11.43,1022,76,overcast clouds,2025-03-25T19:03:09
London,GB,12.89,1023,83,overcast clouds,2025-03-25T19:03:09
New York,US,13.78,1011,33,broken clouds,2025-03-25T19:03:09
Berlin,DE,6.96,1017,83,overcast clouds,2025-03-25T19:03:09
Tokyo,JP,17.91,1000,67,clear sky,2025-03-25T19:03:09
Paris,FR,11.43,1022,76,overcast clouds,2025-03-25T19:04:09
London,GB,12.89,1023,83,overcast clouds,2025-03-25T19:04:09
New York,US,13.78,1011,33,broken clouds,2025-03-25T19:04:09
Berlin,DE,6.96,1017,83,overcast clouds,2025-03-25T19:04:09
Tokyo,JP,17.91,1000,67,clear sky,2025-03-25T19:04:09
Paris,FR,11.43,1022,76,overcast clouds,2025-03-25T19:05:09
London,GB,12.89,1023,83,overcast clouds,2025-03-25T19:05:09
New York,US,13.78,1011,33,broken clouds,2025-03-25T19:05:09
Berlin,DE,6.96,1017,83,overcast clouds,2025-03-25T19:05:09
Tokyo,JP,17.91,1000,67,clear sky,2025-03-25T19:05:09
Paris,FR,11.31,1022,77,overcast clouds,2025-03-25T19:06:09
London,GB,12.94,1023,83,overcast clouds,2025-03-25T19:06:09
New York,US,13.86,1011,32,broken clouds,2025-03-25T19:06:09
Berlin,DE,6.96,1017,83,overcast clouds,2025-03-25T19:06:09
Tokyo,JP,17.91,1000,67,clear sky,2025-03-25T19:06:09
Paris,FR,11.43,1022,76,overcast clouds,2025-03-25T19:07:09
London,GB,12.89,1023,83,overcast clouds,2025-03-25T19:07:09
New York,US,13.78,1011,33,broken clouds,2025-03-25T19:07:09
Berlin,DE,6.96,1017,83,overcast clouds,2025-03-25T19:07:09
Tokyo,JP,17.91,1000,67,clear sky,2025-03-25T19:07:09
Paris,FR,11.43,1022,76,overcast clouds,2025-03-25T19:08:09
London,GB,12.89,1023,83,overcast clouds,2025-03-25T19:08:09
New York,US,13.78,1011,33,broken clouds,2025-03-25T19:08:09
Berlin,DE,6.96,1017,83,overcast clouds,2025-03-25T19:08:09
Tokyo,JP,17.91,1000,67,clear sky,2025-03-25T19:08:09
Paris,FR,11.43,1022,76,overcast clouds,2025-03-25T19:09:09
London,GB,12.89,1023,83,overcast clouds,2025-03-25T19:09:09
New York,US,13.78,1011,33,broken clouds,2025-03-25T19:09:09
Berlin,DE,6.96,1017,83,overcast clouds,2025-03-25T19:09:09
Tokyo,JP,17.91,1000,67,clear sky,2025-03-25T19:09:09
Paris,FR,11.31,1022,77,overcast clouds,2025-03-25T19:10:09
London,GB,12.84,1023,84,overcast clouds,2025-03-25T19:10:09
New York,US,13.95,1011,32,broken clouds,2025-03-25T19:10:09
Berlin,DE,7.08,1017,83,overcast clouds,2025-03-25T19:10:09
Tokyo,JP,17.91,1000,67,clear sky,2025-03-25T19:10:09
Paris,FR,11.31,1022,77,overcast clouds,2025-03-25T19:11:08
London,GB,12.84,1023,84,overcast clouds,2025-03-25T19:11:08
New York,US,13.95,1011,32,broken clouds,2025-03-25T19:11:08
Berlin,DE,7.22,1017,79,overcast clouds,2025-03-25T19:11:08
Tokyo,JP,17.91,1000,67,clear sky,2025-03-25T19:11:08
Paris,FR,11.31,1022,77,overcast clouds,2025-03-25T19:12:08
London,GB,12.84,1023,84,overcast clouds,2025-03-25T19:12:08
New York,US,13.95,1011,32,broken clouds,2025-03-25T19:12:08
Berlin,DE,7.22,1017,79,overcast clouds,2025-03-25T19:12:08
Tokyo,JP,17.91,1000,67,clear sky,2025-03-25T19:12:08
Paris,FR,11.31,1022,77,overcast clouds,2025-03-25T19:13:09
London,GB,12.84,1023,84,overcast clouds,2025-03-25T19:13:09
New York,US,13.95,1011,32,broken clouds,2025-03-25T19:13:09
Berlin,DE,7.22,1017,79,overcast clouds,2025-03-25T19:13:09
Tokyo,JP,17.91,1000,67,clear sky,2025-03-25T19:13:09
Paris,FR,11.31,1022,77,overcast clouds,2025-03-25T19:14:09
London,GB,12.84,1023,84,overcast clouds,2025-03-25T19:14:09
New York,US,13.95,1011,32,broken clouds,2025-03-25T19:14:09
Berlin,DE,7.22,1017,79,overcast clouds,2025-03-25T19:14:09
Tokyo,JP,17.91,1000,67,clear sky,2025-03-25T19:14:09
Paris,FR,11.31,1022,77,overcast clouds,2025-03-25T19:15:09
London,GB,12.84,1023,84,overcast clouds,2025-03-25T19:15:09
New York,US,13.92,1011,32,broken clouds,2025-03-25T19:15:09
Berlin,DE,6.98,1017,84,overcast clouds,2025-03-25T19:15:09
Tokyo,JP,17.91,1000,67,clear sky,2025-03-25T19:15:09
Paris,FR,11.31,1022,77,overcast clouds,2025-03-25T19:16:09
London,GB,12.84,1023,84,overcast clouds,2025-03-25T19:16:09
New York,US,13.92,1011,32,broken clouds,2025-03-25T19:16:09
Berlin,DE,6.98,1017,84,overcast clouds,2025-03-25T19:16:09
Tokyo,JP,17.91,1000,67,clear sky,2025-03-25T19:16:09
Paris,FR,11.31,1022,77,overcast clouds,2025-03-25T19:17:09
London,GB,12.84,1023,84,overcast clouds,2025-03-25T19:17:09
New York,US,13.92,1011,32,broken clouds,2025-03-25T19:17:09
Berlin,DE,6.98,1017,84,overcast clouds,2025-03-25T19:17:09
Tokyo,JP,17.91,1000,67,clear sky,2025-03-25T19:17:09
Paris,FR,11.31,1022,77,overcast clouds,2025-03-25T19:18:12
London,GB,12.84,1023,84,overcast clouds,2025-03-25T19:18:12
New York,US,13.92,1011,32,broken clouds,2025-03-25T19:18:12
Berlin,DE,6.98,1017,84,overcast clouds,2025-03-25T19:18:12
Tokyo,JP,17.91,1000,67,clear sky,2025-03-25T19:18:12
Paris,FR,11.31,1022,77,overcast clouds,2025-03-25T19:19:12
London,GB,12.84,1023,84,overcast clouds,2025-03-25T19:19:12
New York,US,13.92,1011,32,broken clouds,2025-03-25T19:19:12
Berlin,DE,6.98,1017,84,overcast clouds,2025-03-25T19:19:12
Tokyo,JP,17.91,1000,67,clear sky,2025-03-25T19:19:12
Paris,FR,11.18,1022,78,overcast clouds,2025-03-25T19:20:09
London,GB,12.74,1023,84,overcast clouds,2025-03-25T19:20:09
New York,US,13.96,1011,32,broken clouds,2025-03-25T19:20:09
Berlin,DE,6.94,1017,84,overcast clouds,2025-03-25T19:20:09
Tokyo,JP,17.73,1000,68,clear sky,2025-03-25T19:20:09
Paris,FR,11.18,1022,78,overcast clouds,2025-03-25T19:21:09
London,GB,12.74,1023,84,overcast clouds,2025-03-25T19:21:09
New York,US,13.96,1011,32,broken clouds,2025-03-25T19:21:09
Berlin,DE,6.94,1017,84,overcast clouds,2025-03-25T19:21:09
Tokyo,JP,17.73,1000,68,clear sky,2025-03-25T19:21:09
Paris,FR,11.18,1022,78,overcast clouds,2025-03-25T19:22:09
London,GB,12.74,1023,84,overcast clouds,2025-03-25T19:22:09
New York,US,13.96,1011,32,broken clouds,2025-03-25T19:22:09
Berlin,DE,6.94,1017,84,overcast clouds,2025-03-25T19:22:09
Tokyo,JP,17.73,1000,68,clear sky,2025-03-25T19:22:09
Paris,FR,11.18,1022,78,overcast clouds,2025-03-25T19:23:09
London,GB,12.74,1023,84,overcast clouds,2025-03-25T19:23:09
New York,US,13.96,1011,32,broken clouds,2025-03-25T19:23:09
Berlin,DE,6.94,1017,84,overcast clouds,2025-03-25T19:23:09
Tokyo,JP,17.73,1000,68,clear sky,2025-03-25T19:23:09
Paris,FR,11.18,1022,79,overcast clouds,2025-03-25T19:24:09
London,GB,12.61,1023,84,overcast clouds,2025-03-25T19:24:09
New York,US,13.99,1011,32,broken clouds,2025-03-25T19:24:09
Berlin,DE,6.99,1017,84,overcast clouds,2025-03-25T19:24:09
Tokyo,JP,17.72,1000,68,clear sky,2025-03-25T19:24:09
Paris,FR,11.18,1022,79,overcast clouds,2025-03-25T19:25:10
London,GB,12.61,1023,84,overcast clouds,2025-03-25T19:25:10
New York,US,13.99,1011,32,broken clouds,2025-03-25T19:25:10
Berlin,DE,6.99,1017,84,overcast clouds,2025-03-25T19:25:10
Tokyo,JP,17.72,1000,68,clear sky,2025-03-25T19:25:10
Paris,FR,11.18,1022,79,overcast clouds,2025-03-25T19:26:09
London,GB,12.61,1023,84,overcast clouds,2025-03-25T19:26:09
